enroll_id,student_id,course_id,semester
1,1,5,2025-1
2,1,8,2025-1
3,1,7,2024-1
4,1,1,2025-1
5,2,3,2024-1
6,2,2,2024-1
7,2,6,2024-1
8,2,5,2024-1
9,2,8,2025-1
10,2,4,2025-1
11,3,4,2024-2
12,3,7,2025-1
13,3,5,2025-1
14,3,8,2024-2
15,3,1,2025-1
16,4,8,2024-2
17,4,2,2024-1
18,4,6,2025-1
19,4,4,2024-1
20,4,3,2024-1
21,5,7,2025-1
22,5,4,2024-1
23,5,8,2024-2
24,5,2,2025-1
25,5,3,2024-2
26,6,6,2024-1
27,6,4,2024-2
28,6,2,2024-1
29,6,3,2024-2
30,6,1,2024-2
31,6,8,2024-1
32,7,2,2025-1
33,7,1,2024-2
34,7,3,2024-1
35,7,4,2024-1
36,8,6,2024-2
37,8,2,2024-2
38,8,7,2024-2
39,8,4,2024-1
40,8,5,2024-1
41,9,8,2024-1
42,9,2,2024-1
43,9,7,2024-2
44,9,5,2024-2
45,9,3,2025-1
46,10,8,2024-1
47,10,3,2024-2
48,10,5,2025-1
49,10,1,2024-2
50,10,6,2024-2
51,10,2,2024-2
52,11,7,2024-1
53,11,1,2024-2
54,11,5,2025-1
55,11,6,2024-2
56,12,7,2024-2
57,12,5,2025-1
58,12,4,2025-1
59,12,8,2025-1
60,13,3,2024-2
61,13,1,2025-1
62,13,4,2024-2
63,13,8,2024-1
64,14,7,2024-1
65,14,5,2024-1
66,14,1,2025-1
67,14,6,2024-2
68,15,8,2024-2
69,15,2,2025-1
70,15,5,2024-2
71,15,6,2024-1
72,15,7,2024-2
73,16,5,2025-1
74,16,8,2024-2
75,16,3,2024-2
76,16,7,2024-1
77,16,4,2024-2
78,16,6,2024-2
79,17,2,2024-2
80,17,4,2024-2
81,17,5,2025-1
82,17,3,2025-1
83,17,1,2025-1
84,17,6,2024-1
85,18,1,2025-1
86,18,5,2024-1
87,18,4,2024-1
88,18,2,2025-1
89,18,6,2025-1
90,18,8,2024-1
91,19,1,2024-1
92,19,4,2024-2
93,19,3,2025-1
94,19,7,2024-1
95,20,8,2025-1
96,20,7,2024-1
97,20,6,2025-1
98,20,1,2024-2
99,20,2,2025-1
100,21,7,2025-1
101,21,3,2024-2
102,21,2,2025-1
103,21,4,2025-1
104,21,8,2025-1
105,22,5,2025-1
106,22,8,2024-2
107,22,4,2024-1
108,22,2,2024-2
109,22,7,2024-2
110,22,6,2025-1
111,23,8,2025-1
112,23,3,2025-1
113,23,4,2024-2
114,23,7,2024-2
115,24,7,2024-2
116,24,4,2024-1
117,24,3,2024-2
118,24,2,2025-1
119,25,6,2025-1
120,25,4,2024-2
121,25,8,2024-1
122,25,3,2024-1
123,26,5,2025-1
124,26,8,2025-1
125,26,6,2025-1
126,26,3,2024-1
127,26,2,2024-1
