final_id,enroll_id,final_score,grade,at_risk,intervention
1,1,85.56,A,0,0
2,2,85.86,A,0,0
3,3,83.64,B,0,0
4,4,80.5,B,0,0
5,5,68.24,C,0,0
6,6,83.62,B,0,0
7,7,74.95,B,0,0
8,8,60.44,C,0,0
9,9,68.34,C,0,0
10,10,69.76,C,0,0
11,11,70.17,B,0,0
12,12,65.95,C,0,0
13,13,73.48,B,0,0
14,14,81.23,B,0,0
15,15,70.46,B,0,0
16,16,80.16,B,0,0
17,17,79.24,B,0,0
18,18,79.3,B,0,0
19,19,64.6,C,0,0
20,20,78.09,B,0,0
21,21,84.1,B,0,0
22,22,81.29,B,0,0
23,23,63.98,C,0,0
24,24,63.41,C,0,0
25,25,72.88,B,0,0
26,26,63.24,C,0,0
27,27,69.35,C,0,0
28,28,63.34,C,0,0
29,29,83.7,B,0,0
30,30,57.38,C,0,0
31,31,75.57,B,0,0
32,32,77.61,B,0,0
33,33,78.94,B,0,0
34,34,78.35,B,0,0
35,35,79.68,B,0,0
36,36,84.45,B,0,0
37,37,69.18,C,0,0
38,38,75.15,B,0,0
39,39,68.05,C,0,0
40,40,63.85,C,0,0
41,41,74.0,B,0,0
42,42,45.94,D,1,1
43,43,68.55,C,0,0
44,44,68.35,C,0,0
45,45,55.23,C,0,0
46,46,63.1,C,0,0
47,47,76.31,B,0,0
48,48,70.32,B,0,0
49,49,73.38,B,0,0
50,50,67.91,C,0,0
51,51,79.38,B,0,0
52,52,74.57,B,0,0
53,53,59.78,C,0,0
54,54,69.22,C,0,0
55,55,69.19,C,0,0
56,56,71.17,B,0,0
57,57,62.63,C,0,0
58,58,68.13,C,0,0
59,59,60.65,C,0,0
60,60,49.14,D,1,1
61,61,61.27,C,0,0
62,62,75.22,B,0,0
63,63,65.38,C,0,0
64,64,55.56,C,0,0
65,65,66.84,C,0,0
66,66,50.99,D,0,0
67,67,64.58,C,0,0
68,68,52.94,D,0,0
69,69,66.08,C,0,0
70,70,63.91,C,0,0
71,71,61.29,C,0,0
72,72,59.36,C,0,0
73,73,65.84,C,0,0
74,74,58.69,C,0,0
75,75,72.24,B,0,0
76,76,70.44,B,0,0
77,77,59.32,C,0,0
78,78,68.91,C,0,0
79,79,73.63,B,0,0
80,80,62.83,C,0,0
81,81,62.05,C,0,0
82,82,65.88,C,0,0
83,83,77.39,B,0,0
84,84,60.76,C,0,0
85,85,54.37,D,0,0
86,86,59.95,C,0,0
87,87,83.03,B,0,0
88,88,64.81,C,0,0
89,89,74.3,B,0,0
90,90,62.94,C,0,0
91,91,72.76,B,0,0
92,92,68.33,C,0,0
93,93,71.48,B,0,0
94,94,70.64,B,0,0
95,95,63.35,C,0,0
96,96,62.2,C,0,0
97,97,68.17,C,0,0
98,98,63.95,C,0,0
99,99,70.47,B,0,0
100,100,80.86,B,0,0
101,101,82.66,B,0,0
102,102,76.37,B,0,0
103,103,70.77,B,0,0
104,104,62.05,C,0,0
105,105,69.99,C,0,0
106,106,56.71,C,0,0
107,107,70.39,B,0,0
108,108,65.65,C,0,0
109,109,62.89,C,0,0
110,110,68.73,C,0,0
111,111,75.22,B,0,0
112,112,66.87,C,0,0
113,113,64.77,C,0,0
114,114,60.08,C,0,0
115,115,66.53,C,0,0
